w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,cs_scaled
2.275,8.5,143553,0.90719,15484,0.09148,2e-05,0.30852,0.96082,0.29644
2.275,10.0,288100,0.8966,32466,0.09351,1e-05,0.2284,0.91596,0.20921
2.275,12.0,286811,0.37755,31511,0.03872,1e-05,0.15531,0.86759,0.13475
2.275,14.0,286728,0.17953,29234,0.01719,1e-05,0.11194,0.82833,0.09272
2.275,16.5,430259,0.12189,36776,0.01008,0.0,0.07994,0.78815,0.06301
2.275,19.5,430532,0.05235,28420,0.00351,0.0,0.05527,0.74904,0.0414
2.275,23.0,573659,0.03053,25348,0.00141,0.0,0.03912,0.71209,0.02786
2.275,27.5,716309,0.01541,11903,0.0003,0.0,0.02669,0.67395,0.01799
2.325,3.25,71586,22.50384,2,0.00012,0.00017,1.80782,1.25573,2.27014
2.325,3.85,100465,16.97432,1542,0.2123,0.00012,1.35857,1.20075,1.6313
2.325,4.6,114514,9.81822,4785,0.37563,9e-05,0.99579,1.14412,1.1393
2.325,5.5,143331,6.07443,8758,0.34325,6e-05,0.72387,1.0887,0.78808
2.325,6.5,143438,3.01494,11790,0.23969,4e-05,0.52287,1.03836,0.54293
2.325,7.5,143374,1.62396,13817,0.14658,3e-05,0.39356,0.99647,0.39217
2.325,8.5,143959,0.94827,15292,0.09203,2e-05,0.30943,0.96082,0.29731
2.325,10.0,286549,0.93106,32238,0.0953,1e-05,0.22876,0.91596,0.20953
2.325,12.0,287426,0.39224,31066,0.03879,1e-05,0.15396,0.86759,0.13357
2.325,14.0,286734,0.18736,28795,0.01741,1e-05,0.11141,0.82833,0.09228
2.325,16.5,429680,0.12723,36072,0.01028,0.0,0.07947,0.78815,0.06263
2.325,19.5,430136,0.05449,28313,0.00357,0.0,0.05462,0.74904,0.04091
2.325,23.0,573386,0.03182,25041,0.00147,0.0,0.03858,0.71209,0.02747
2.325,27.5,715926,0.016,11256,0.00029,0.0,0.02616,0.67395,0.01763
2.375,3.25,71489,22.91947,11,0.00133,0.00018,1.81439,1.25573,2.27838
2.375,3.85,100323,17.52247,1643,0.22387,0.00013,1.37692,1.20075,1.65334
2.375,4.6,114678,10.22278,4944,0.3923,9e-05,1.01114,1.14412,1.15686
2.375,5.5,142864,6.26368,8792,0.33739,6e-05,0.72859,1.0887,0.79322
2.375,6.5,144480,3.16258,11771,0.23107,4e-05,0.52796,1.03836,0.54821
2.375,7.5,143595,1.7032,13759,0.14706,3e-05,0.39846,0.99647,0.39705
2.375,8.5,142979,0.97516,15341,0.09151,2e-05,0.30901,0.96082,0.29691
2.375,10.0,286890,0.96977,32268,0.09728,1e-05,0.22885,0.91596,0.20961
2.375,12.0,287186,0.41094,30985,0.03989,1e-05,0.15473,0.86759,0.13424
2.375,14.0,287028,0.19588,28342,0.01788,1e-05,0.11122,0.82833,0.09213
2.375,16.5,429519,0.13234,35570,0.01027,0.0,0.07883,0.78815,0.06213
2.375,19.5,430668,0.05661,27842,0.00367,0.0,0.05389,0.74904,0.04036
2.375,23.0,573101,0.03283,24259,0.00147,0.0,0.03776,0.71209,0.02689
2.375,27.5,718192,0.01648,10779,0.0003,0.0,0.0254,0.67395,0.01712
2.425,3.25,72242,22.71559,15,0.00384,0.00018,1.75473,1.25573,2.20346
2.425,3.85,100567,17.60511,1777,0.25233,0.00013,1.35585,1.20075,1.62804
2.425,4.6,114708,10.27153,4557,0.37846,9e-05,0.99408,1.14412,1.13735
2.425,5.5,142912,6.30665,8754,0.34523,6e-05,0.71505,1.0887,0.77847
2.425,6.5,143462,3.17646,11991,0.2428,4e-05,0.51895,1.03836,0.53885
2.425,7.5,143481,1.73547,13755,0.15008,3e-05,0.39372,0.99647,0.39234
2.425,8.5,143575,1.00053,15052,0.09429,2e-05,0.30521,0.96082,0.29325
2.425,10.0,286522,0.99135,31327,0.09663,2e-05,0.22574,0.91596,0.20677
2.425,12.0,286568,0.42031,30428,0.04058,1e-05,0.15235,0.86759,0.13217
2.425,14.0,286258,0.1994,27350,0.01752,1e-05,0.10876,0.82833,0.09009
2.425,16.5,430428,0.13592,34365,0.01019,0.0,0.07719,0.78815,0.06084
2.425,19.5,429302,0.05753,26454,0.00347,0.0,0.05234,0.74904,0.0392
2.425,23.0,573248,0.03338,22796,0.00139,0.0,0.03647,0.71209,0.02597
2.425,27.5,716142,0.01666,9559,0.00026,0.0,0.02438,0.67395,0.01643
